"CpG","Beta","StudyID"
"cg02380585",0.002,"Eosino"
"cg12465678",0.018,"Eosino"
"cg01874152",0.988,"Eosino"
"cg07713946",0.977,"Eosino"
"cg10240150",0.967,"Eosino"
"cg09885622",0.041,"Eosino"
"cg02661764",0.942,"Eosino"
"cg07837085",0.015,"Eosino"
"cg07545925",0.982,"Eosino"
"cg10782923",0.971,"Eosino"
"cg13651908",0.938,"Eosino"
"cg16452866",0.977,"Eosino"
"cg04244970",0.009,"Eosino"
"cg24527636",0.958,"Eosino"
"cg05074138",0.941,"Eosino"
"cg08884752",0.839,"Eosino"
"cg20661080",0.963,"Eosino"
"cg09662852",0.017,"Eosino"
"cg25416125",0.924,"Eosino"
"cg13606287",0.987,"Eosino"
"cg21400549",0.009,"Eosino"
"cg25226014",0.982,"Eosino"
"cg10837404",0.992,"Eosino"
"cg16193207",0.975,"Eosino"
"cg10599446",0.929,"Eosino"
"cg18154117",0.921,"Eosino"
"cg04642300",0.013,"Eosino"
"cg25939861",0.961,"Eosino"
"cg00219921",0.978,"Eosino"
"cg10977115",0.975,"Eosino"
"cg22512531",0.978,"Eosino"
"cg06164961",0.98,"Eosino"
"cg24456340",0.933,"Eosino"
"cg25643644",0.957,"Eosino"
"cg20894640",0.975,"Eosino"
"cg24841244",0.971,"Eosino"
"cg22689323",0.937,"Eosino"
"cg24612198",0.979,"Eosino"
"cg09088496",0.977,"Eosino"
"cg07661835",0.97,"Eosino"
"cg25711558",0.008,"Eosino"
"cg13750061",0.971,"Eosino"
"cg09453312",0.97,"Eosino"
"cg14506192",0.979,"Eosino"
"cg09032544",0.976,"Eosino"
"cg00277591",0.93,"Eosino"
"cg09354050",0.923,"Eosino"
"cg11531557",0.951,"Eosino"
"cg02324835",0.963,"Eosino"
"cg22999502",0.935,"Eosino"
"cg23318020",0.959,"Eosino"
"cg09145126",0.011,"Eosino"
"cg22742001",0.002,"Eosino"
"cg25025181",0.001,"Eosino"
"cg21330949",0.943,"Eosino"
"cg24448340",0.005,"Eosino"
"cg11760500",0.961,"Eosino"
"cg18463607",0.985,"Eosino"
"cg16093065",0.981,"Eosino"
"cg09232358",0.969,"Eosino"
"cg14278300",0.945,"Eosino"
"cg23671196",0.01,"Eosino"
"cg20487608",0.006,"Eosino"
"cg15046489",0.961,"Eosino"
"cg26872907",0.964,"Eosino"
"cg00701951",0.941,"Eosino"
"cg19301114",0.949,"Eosino"
"cg26538782",0.979,"Eosino"
"cg23244761",0.982,"Eosino"
"cg07002540",0.927,"Eosino"
"cg08538581",0.918,"Eosino"
"cg09220326",0.777,"Eosino"
"cg18066690",0.978,"Eosino"
"cg06297318",0.932,"Eosino"
"cg17594003",0.745,"Eosino"
"cg16429499",0.968,"Eosino"
"cg13430807",0.927,"Eosino"
"cg23146741",0.956,"Eosino"
"cg17660833",0.928,"Eosino"
"cg22957691",0.744,"Eosino"
"cg10278149",0.776,"Eosino"
"cg13093111",0.624,"Eosino"
"cg00091349",0.742,"Eosino"
"cg10933959",0.744,"Eosino"
"cg11814087",0.808,"Eosino"
"cg09322573",0.757,"Eosino"
"cg10624395",0.963,"Eosino"
"cg00208012",0.96,"Eosino"
"cg12655112",0.817,"Eosino"
"cg02190353",0.726,"Eosino"
"cg13932501",0.724,"Eosino"
"cg03533256",0.926,"Eosino"
"cg14985891",0.653,"Eosino"
"cg08908131",0.949,"Eosino"
"cg23391288",0.99,"Eosino"
"cg15835339",0.771,"Eosino"
"cg19082496",0.741,"Eosino"
"cg21683390",0.798,"Eosino"
"cg04605532",0.677,"Eosino"
"cg18990407",0.929,"Eosino"
"cg03002688",0.787,"Eosino"
"cg02780988",0.933,"Eosino"
"cg23363263",0.692,"Eosino"
"cg20978247",0.801,"Eosino"
"cg09310966",0.757,"Eosino"
"cg05242065",0.948,"Eosino"
"cg17541002",0.892,"Eosino"
"cg22381196",0.072,"Eosino"
"cg21685770",0.204,"Eosino"
"cg00439981",0.008,"Eosino"
"cg11557901",0.009,"Eosino"
"cg05344747",0.023,"Eosino"
"cg09859659",0.192,"Eosino"
"cg25968394",0.181,"Eosino"
"cg04609694",0.493,"Eosino"
"cg13468144",0.832,"Eosino"
"cg13178361",0.07,"Eosino"
"cg13396713",0.01,"Eosino"
"cg02021919",0.157,"Eosino"
"cg11922563",0.019,"Eosino"
"cg25025545",0.009,"Eosino"
"cg27200257",0.02,"Eosino"
"cg03406844",0.091,"Eosino"
"cg09993145",0.888,"Eosino"
"cg11354682",0.945,"Eosino"
"cg23819411",0.683,"Eosino"
"cg16125725",0.757,"Eosino"
"cg14059339",0.098,"Eosino"
"cg09109411",0.007,"Eosino"
"cg05486872",0.005,"Eosino"
"cg21341487",0.015,"Eosino"
"cg27545615",0.007,"Eosino"
"cg13633625",0.741,"Eosino"
"cg11597277",0.424,"Eosino"
"cg11389756",0.018,"Eosino"
"cg07356342",0.262,"Eosino"
"cg15033269",0.015,"Eosino"
"cg25757820",0.861,"Eosino"
"cg25605731",0.02,"Eosino"
"cg26341831",0.467,"Eosino"
"cg00405190",0.094,"Eosino"
"cg13785123",0.859,"Eosino"
"cg14919455",0.013,"Eosino"
"cg13079571",0.26,"Eosino"
"cg13618516",0.084,"Eosino"
"cg23334433",0.004,"Eosino"
"cg05171937",0.655,"Eosino"
"cg09727050",0.207,"Eosino"
"cg12019801",0.138,"Eosino"
"cg08279189",0.004,"Eosino"
"cg06766034",0.013,"Eosino"
"cg15891546",0.005,"Eosino"
"cg10699171",0.907,"Eosino"
"cg01040749",0.563,"Eosino"
"cg14268557",0.025,"Eosino"
"cg09163720",0.277,"Eosino"
"cg21237481",0.12,"Eosino"
"cg10342963",0.021,"Eosino"
"cg26814100",0.057,"Eosino"
"cg18380211",0.167,"Eosino"
"cg01953317",0.194,"Eosino"
"cg23990557",0.118,"Eosino"
"cg04128967",0.127,"Eosino"
"cg01012879",0.082,"Eosino"
"cg01742370",0.025,"Eosino"
"cg00290355",0.118,"Eosino"
"cg17470397",0.188,"Eosino"
"cg01655008",0.047,"Eosino"
"cg02722672",0.094,"Eosino"
"cg04836151",0.135,"Eosino"
"cg23012855",0.21,"Eosino"
"cg04306507",0.106,"Eosino"
"cg07769015",0.04,"Eosino"
"cg26165081",0.101,"Eosino"
"cg11690666",0.082,"Eosino"
"cg00114012",0.178,"Eosino"
"cg06829969",0.02,"Eosino"
"cg23540819",0.092,"Eosino"
"cg03329755",0.248,"Eosino"
"cg02832512",0.057,"Eosino"
"cg02974085",0.117,"Eosino"
"cg02338345",0.172,"Eosino"
"cg07268332",0.021,"Eosino"
"cg22460173",0.159,"Eosino"
"cg15586392",0.029,"Eosino"
"cg26930596",0.014,"Eosino"
