"CpG","Beta","StudyID"
"cg09032544",0.951,"Mono"
"cg00277591",0.956,"Mono"
"cg09354050",0.951,"Mono"
"cg11531557",0.942,"Mono"
"cg02324835",0.94,"Mono"
"cg22999502",0.933,"Mono"
"cg23318020",0.949,"Mono"
"cg09145126",0.027,"Mono"
"cg22742001",0.014,"Mono"
"cg25025181",0.016,"Mono"
"cg21330949",0.933,"Mono"
"cg24448340",0.022,"Mono"
"cg11760500",0.979,"Mono"
"cg18463607",0.969,"Mono"
"cg16093065",0.972,"Mono"
"cg09232358",0.927,"Mono"
"cg14278300",0.916,"Mono"
"cg23671196",0.035,"Mono"
"cg20487608",0.017,"Mono"
"cg15046489",0.956,"Mono"
"cg26872907",0.095,"Mono"
"cg00701951",0.099,"Mono"
"cg19301114",0.068,"Mono"
"cg26538782",0.116,"Mono"
"cg23244761",0.141,"Mono"
"cg07002540",0.115,"Mono"
"cg08538581",0.073,"Mono"
"cg09220326",0.061,"Mono"
"cg18066690",0.184,"Mono"
"cg06297318",0.149,"Mono"
"cg17594003",0.073,"Mono"
"cg16429499",0.081,"Mono"
"cg13430807",0.129,"Mono"
"cg23146741",0.089,"Mono"
"cg17660833",0.095,"Mono"
"cg22957691",0.031,"Mono"
"cg10278149",0.116,"Mono"
"cg13093111",0.062,"Mono"
"cg00091349",0.031,"Mono"
"cg10933959",0.08,"Mono"
"cg11814087",0.059,"Mono"
"cg09322573",0.104,"Mono"
"cg10624395",0.196,"Mono"
"cg00208012",0.163,"Mono"
"cg12655112",0.092,"Mono"
"cg02190353",0.032,"Mono"
"cg13932501",0.064,"Mono"
"cg03533256",0.074,"Mono"
"cg14985891",0.026,"Mono"
"cg08908131",0.138,"Mono"
"cg23391288",0.201,"Mono"
"cg15835339",0.069,"Mono"
"cg19082496",0.033,"Mono"
"cg21683390",0.075,"Mono"
"cg04605532",0.06,"Mono"
"cg18990407",0.121,"Mono"
"cg03002688",0.05,"Mono"
"cg02780988",0.137,"Mono"
"cg23363263",0.072,"Mono"
"cg20978247",0.113,"Mono"
"cg09310966",0.087,"Mono"
"cg05242065",0.187,"Mono"
"cg17541002",0.055,"Mono"
"cg22381196",0.815,"Mono"
"cg21685770",0.786,"Mono"
"cg00439981",0.624,"Mono"
"cg11557901",0.472,"Mono"
"cg05344747",0.855,"Mono"
"cg09859659",0.916,"Mono"
"cg25968394",0.721,"Mono"
"cg04609694",0.881,"Mono"
"cg13468144",0.952,"Mono"
"cg13178361",0.759,"Mono"
"cg13396713",0.477,"Mono"
"cg02021919",0.787,"Mono"
"cg11922563",0.386,"Mono"
"cg25025545",0.377,"Mono"
"cg27200257",0.699,"Mono"
"cg03406844",0.828,"Mono"
"cg09993145",0.083,"Mono"
"cg11354682",0.08,"Mono"
"cg23819411",0.68,"Mono"
"cg16125725",0.597,"Mono"
"cg14059339",0.371,"Mono"
"cg09109411",0.431,"Mono"
"cg05486872",0.869,"Mono"
"cg21341487",0.506,"Mono"
"cg27545615",0.625,"Mono"
"cg13633625",0.686,"Mono"
"cg11597277",0.714,"Mono"
"cg11389756",0.247,"Mono"
"cg07356342",0.482,"Mono"
"cg15033269",0.473,"Mono"
"cg25757820",0.836,"Mono"
"cg25605731",0.497,"Mono"
"cg26341831",0.264,"Mono"
"cg00405190",0.465,"Mono"
"cg13785123",0.84,"Mono"
"cg14919455",0.435,"Mono"
"cg13079571",0.781,"Mono"
"cg13618516",0.405,"Mono"
"cg23334433",0.175,"Mono"
"cg05171937",0.684,"Mono"
"cg09727050",0.265,"Mono"
"cg12019801",0.266,"Mono"
"cg08279189",0.202,"Mono"
"cg06766034",0.367,"Mono"
"cg15891546",0.657,"Mono"
"cg10699171",0.613,"Mono"
"cg01040749",0.865,"Mono"
"cg14268557",0.233,"Mono"
"cg09163720",0.719,"Mono"
"cg21237481",0.936,"Mono"
"cg10342963",0.937,"Mono"
"cg26814100",0.818,"Mono"
"cg18380211",0.946,"Mono"
"cg01953317",0.977,"Mono"
"cg23990557",0.936,"Mono"
"cg04128967",0.875,"Mono"
"cg01012879",0.94,"Mono"
"cg01742370",0.541,"Mono"
"cg00290355",0.78,"Mono"
"cg17470397",0.738,"Mono"
"cg01655008",0.558,"Mono"
"cg02722672",0.815,"Mono"
"cg04836151",0.797,"Mono"
"cg23012855",0.928,"Mono"
"cg04306507",0.762,"Mono"
"cg07769015",0.547,"Mono"
"cg26165081",0.612,"Mono"
"cg11690666",0.64,"Mono"
"cg00114012",0.923,"Mono"
"cg06829969",0.527,"Mono"
"cg23540819",0.772,"Mono"
"cg03329755",0.976,"Mono"
"cg02832512",0.801,"Mono"
"cg02974085",0.847,"Mono"
"cg02338345",0.874,"Mono"
"cg07268332",0.825,"Mono"
"cg22460173",0.81,"Mono"
"cg15586392",0.422,"Mono"
"cg26930596",0.307,"Mono"
