"CpG","Beta","StudyID"
"cg09662852",0.046,"Neutro"
"cg25416125",0.89,"Neutro"
"cg13606287",0.966,"Neutro"
"cg21400549",0.091,"Neutro"
"cg25226014",0.966,"Neutro"
"cg10837404",0.987,"Neutro"
"cg16193207",0.959,"Neutro"
"cg10599446",0.938,"Neutro"
"cg18154117",0.899,"Neutro"
"cg04642300",0.034,"Neutro"
"cg25939861",0.947,"Neutro"
"cg00219921",0.966,"Neutro"
"cg10977115",0.96,"Neutro"
"cg22512531",0.963,"Neutro"
"cg06164961",0.958,"Neutro"
"cg24456340",0.978,"Neutro"
"cg25643644",0.939,"Neutro"
"cg20894640",0.95,"Neutro"
"cg24841244",0.937,"Neutro"
"cg22689323",0.945,"Neutro"
"cg24612198",0.955,"Neutro"
"cg09088496",0.938,"Neutro"
"cg07661835",0.939,"Neutro"
"cg25711558",0.052,"Neutro"
"cg13750061",0.958,"Neutro"
"cg09453312",0.959,"Neutro"
"cg14506192",0.944,"Neutro"
"cg09032544",0.916,"Neutro"
"cg00277591",0.897,"Neutro"
"cg09354050",0.919,"Neutro"
"cg11531557",0.937,"Neutro"
"cg02324835",0.947,"Neutro"
"cg22999502",0.903,"Neutro"
"cg23318020",0.924,"Neutro"
"cg09145126",0.068,"Neutro"
"cg22742001",0.032,"Neutro"
"cg25025181",0.036,"Neutro"
"cg21330949",0.902,"Neutro"
"cg24448340",0.047,"Neutro"
"cg11760500",0.956,"Neutro"
"cg18463607",0.958,"Neutro"
"cg16093065",0.969,"Neutro"
"cg09232358",0.931,"Neutro"
"cg14278300",0.913,"Neutro"
"cg23671196",0.065,"Neutro"
"cg20487608",0.027,"Neutro"
"cg15046489",0.951,"Neutro"
"cg26872907",0.957,"Neutro"
"cg00701951",0.78,"Neutro"
"cg19301114",0.93,"Neutro"
"cg26538782",0.948,"Neutro"
"cg23244761",0.976,"Neutro"
"cg07002540",0.833,"Neutro"
"cg08538581",0.765,"Neutro"
"cg09220326",0.504,"Neutro"
"cg18066690",0.971,"Neutro"
"cg06297318",0.865,"Neutro"
"cg17594003",0.566,"Neutro"
"cg16429499",0.966,"Neutro"
"cg13430807",0.919,"Neutro"
"cg23146741",0.911,"Neutro"
"cg17660833",0.546,"Neutro"
"cg22957691",0.249,"Neutro"
"cg10278149",0.76,"Neutro"
"cg13093111",0.51,"Neutro"
"cg00091349",0.54,"Neutro"
"cg10933959",0.395,"Neutro"
"cg11814087",0.38,"Neutro"
"cg09322573",0.663,"Neutro"
"cg10624395",0.976,"Neutro"
"cg00208012",0.92,"Neutro"
"cg12655112",0.689,"Neutro"
"cg02190353",0.28,"Neutro"
"cg13932501",0.396,"Neutro"
"cg03533256",0.794,"Neutro"
"cg14985891",0.204,"Neutro"
"cg08908131",0.937,"Neutro"
"cg23391288",0.982,"Neutro"
"cg15835339",0.39,"Neutro"
"cg19082496",0.312,"Neutro"
"cg21683390",0.466,"Neutro"
"cg04605532",0.305,"Neutro"
"cg18990407",0.863,"Neutro"
"cg03002688",0.408,"Neutro"
"cg02780988",0.918,"Neutro"
"cg23363263",0.314,"Neutro"
"cg20978247",0.502,"Neutro"
"cg09310966",0.534,"Neutro"
"cg05242065",0.917,"Neutro"
"cg17541002",0.302,"Neutro"
"cg22381196",0.079,"Neutro"
"cg21685770",0.079,"Neutro"
"cg00439981",0.074,"Neutro"
"cg11557901",0.055,"Neutro"
"cg05344747",0.094,"Neutro"
"cg09859659",0.155,"Neutro"
"cg25968394",0.13,"Neutro"
"cg04609694",0.209,"Neutro"
"cg13468144",0.278,"Neutro"
"cg13178361",0.111,"Neutro"
"cg13396713",0.071,"Neutro"
"cg02021919",0.14,"Neutro"
"cg11922563",0.038,"Neutro"
"cg25025545",0.055,"Neutro"
"cg27200257",0.1,"Neutro"
"cg03406844",0.131,"Neutro"
"cg09993145",0.83,"Neutro"
"cg11354682",0.931,"Neutro"
"cg23819411",0.226,"Neutro"
"cg16125725",0.244,"Neutro"
"cg14059339",0.087,"Neutro"
"cg09109411",0.084,"Neutro"
"cg05486872",0.049,"Neutro"
"cg21341487",0.082,"Neutro"
"cg27545615",0.051,"Neutro"
"cg13633625",0.254,"Neutro"
"cg11597277",0.223,"Neutro"
"cg11389756",0.056,"Neutro"
"cg07356342",0.135,"Neutro"
"cg15033269",0.075,"Neutro"
"cg25757820",0.323,"Neutro"
"cg25605731",0.091,"Neutro"
"cg26341831",0.777,"Neutro"
"cg00405190",0.098,"Neutro"
"cg13785123",0.321,"Neutro"
"cg14919455",0.093,"Neutro"
"cg13079571",0.207,"Neutro"
"cg13618516",0.115,"Neutro"
"cg23334433",0.056,"Neutro"
"cg05171937",0.257,"Neutro"
"cg09727050",0.078,"Neutro"
"cg12019801",0.091,"Neutro"
"cg08279189",0.076,"Neutro"
"cg06766034",0.063,"Neutro"
"cg15891546",0.083,"Neutro"
"cg10699171",0.896,"Neutro"
"cg01040749",0.284,"Neutro"
"cg14268557",0.079,"Neutro"
"cg09163720",0.204,"Neutro"
"cg21237481",0.735,"Neutro"
"cg10342963",0.208,"Neutro"
"cg26814100",0.315,"Neutro"
"cg18380211",0.844,"Neutro"
"cg01953317",0.897,"Neutro"
"cg23990557",0.549,"Neutro"
"cg04128967",0.776,"Neutro"
"cg01012879",0.271,"Neutro"
"cg01742370",0.198,"Neutro"
"cg00290355",0.571,"Neutro"
"cg17470397",0.842,"Neutro"
"cg01655008",0.217,"Neutro"
"cg02722672",0.32,"Neutro"
"cg04836151",0.411,"Neutro"
"cg23012855",0.788,"Neutro"
"cg04306507",0.499,"Neutro"
"cg07769015",0.222,"Neutro"
"cg26165081",0.407,"Neutro"
"cg11690666",0.194,"Neutro"
"cg00114012",0.71,"Neutro"
"cg06829969",0.175,"Neutro"
"cg23540819",0.454,"Neutro"
"cg03329755",0.788,"Neutro"
"cg02832512",0.178,"Neutro"
"cg02974085",0.756,"Neutro"
"cg02338345",0.746,"Neutro"
"cg07268332",0.146,"Neutro"
"cg22460173",0.653,"Neutro"
"cg15586392",0.164,"Neutro"
"cg26930596",0.092,"Neutro"
