"CpG","Beta","StudyID"
"cg18461635",0.692,"CD4T"
"cg21333217",0.96,"CD4T"
"cg02663352",0.881,"CD4T"
"cg07065759",0.344,"CD4T"
"cg11335172",0.975,"CD4T"
"cg16212145",0.898,"CD4T"
"cg20959189",0.714,"CD4T"
"cg02902412",0.982,"CD4T"
"cg19828970",0.854,"CD4T"
"cg01726890",0.852,"CD4T"
"cg00366435",0.15,"CD4T"
"cg13468685",0.895,"CD4T"
"cg26166854",0.131,"CD4T"
"cg06915826",0.147,"CD4T"
"cg11848483",0.153,"CD4T"
"cg07679948",0.163,"CD4T"
"cg02380585",0.903,"CD4T"
"cg12465678",0.908,"CD4T"
"cg01874152",0.168,"CD4T"
"cg07713946",0.155,"CD4T"
"cg10240150",0.141,"CD4T"
"cg09885622",0.915,"CD4T"
"cg02661764",0.163,"CD4T"
"cg07837085",0.794,"CD4T"
"cg07545925",0.106,"CD4T"
"cg10782923",0.198,"CD4T"
"cg13651908",0.179,"CD4T"
"cg16452866",0.156,"CD4T"
"cg04244970",0.759,"CD4T"
"cg24527636",0.122,"CD4T"
"cg05074138",0.181,"CD4T"
"cg08884752",0.142,"CD4T"
"cg20661080",0.192,"CD4T"
"cg09662852",0.76,"CD4T"
"cg25416125",0.171,"CD4T"
"cg13606287",0.168,"CD4T"
"cg21400549",0.927,"CD4T"
"cg25226014",0.152,"CD4T"
"cg10837404",0.321,"CD4T"
"cg16193207",0.245,"CD4T"
"cg10599446",0.146,"CD4T"
"cg18154117",0.176,"CD4T"
"cg04642300",0.758,"CD4T"
"cg25939861",0.906,"CD4T"
"cg00219921",0.915,"CD4T"
"cg10977115",0.427,"CD4T"
"cg22512531",0.571,"CD4T"
"cg06164961",0.137,"CD4T"
"cg24456340",0.696,"CD4T"
"cg25643644",0.122,"CD4T"
"cg20894640",0.265,"CD4T"
"cg24841244",0.152,"CD4T"
"cg22689323",0.175,"CD4T"
"cg24612198",0.146,"CD4T"
"cg09088496",0.171,"CD4T"
"cg07661835",0.471,"CD4T"
"cg25711558",0.873,"CD4T"
"cg13750061",0.156,"CD4T"
"cg09453312",0.096,"CD4T"
"cg14506192",0.558,"CD4T"
"cg09032544",0.228,"CD4T"
"cg00277591",0.138,"CD4T"
"cg09354050",0.113,"CD4T"
"cg11531557",0.503,"CD4T"
"cg02324835",0.381,"CD4T"
"cg22999502",0.336,"CD4T"
"cg23318020",0.153,"CD4T"
"cg09145126",0.901,"CD4T"
"cg22742001",0.947,"CD4T"
"cg25025181",0.922,"CD4T"
"cg21330949",0.219,"CD4T"
"cg24448340",0.932,"CD4T"
"cg11760500",0.117,"CD4T"
"cg18463607",0.133,"CD4T"
"cg16093065",0.177,"CD4T"
"cg09232358",0.206,"CD4T"
"cg14278300",0.227,"CD4T"
"cg23671196",0.797,"CD4T"
"cg20487608",0.877,"CD4T"
"cg15046489",0.252,"CD4T"
"cg26872907",0.837,"CD4T"
"cg00701951",0.935,"CD4T"
"cg19301114",0.852,"CD4T"
"cg26538782",0.966,"CD4T"
"cg23244761",0.902,"CD4T"
"cg07002540",0.886,"CD4T"
"cg08538581",0.929,"CD4T"
"cg09220326",0.931,"CD4T"
"cg18066690",0.941,"CD4T"
"cg06297318",0.937,"CD4T"
"cg17594003",0.959,"CD4T"
"cg16429499",0.929,"CD4T"
"cg13430807",0.865,"CD4T"
"cg23146741",0.865,"CD4T"
"cg17660833",0.928,"CD4T"
"cg22957691",0.953,"CD4T"
"cg10278149",0.938,"CD4T"
"cg13093111",0.966,"CD4T"
"cg00091349",0.869,"CD4T"
"cg10933959",0.959,"CD4T"
"cg11814087",0.922,"CD4T"
"cg09322573",0.948,"CD4T"
"cg10624395",0.925,"CD4T"
"cg00208012",0.894,"CD4T"
"cg12655112",0.852,"CD4T"
"cg02190353",0.906,"CD4T"
"cg13932501",0.926,"CD4T"
"cg03533256",0.804,"CD4T"
"cg14985891",0.934,"CD4T"
"cg08908131",0.871,"CD4T"
"cg23391288",0.903,"CD4T"
"cg15835339",0.927,"CD4T"
"cg19082496",0.905,"CD4T"
"cg21683390",0.946,"CD4T"
"cg04605532",0.934,"CD4T"
"cg18990407",0.923,"CD4T"
"cg03002688",0.824,"CD4T"
"cg02780988",0.878,"CD4T"
"cg23363263",0.962,"CD4T"
"cg20978247",0.935,"CD4T"
"cg09310966",0.878,"CD4T"
"cg05242065",0.81,"CD4T"
"cg17541002",0.906,"CD4T"
"cg22381196",0.99,"CD4T"
"cg21685770",0.974,"CD4T"
"cg00439981",0.984,"CD4T"
"cg11557901",0.974,"CD4T"
"cg05344747",0.972,"CD4T"
"cg09859659",0.979,"CD4T"
"cg25968394",0.976,"CD4T"
"cg04609694",0.979,"CD4T"
"cg13468144",0.951,"CD4T"
"cg13178361",0.958,"CD4T"
"cg13396713",0.965,"CD4T"
"cg02021919",0.961,"CD4T"
"cg11922563",0.931,"CD4T"
"cg25025545",0.953,"CD4T"
"cg27200257",0.937,"CD4T"
"cg03406844",0.934,"CD4T"
"cg09993145",0.037,"CD4T"
"cg11354682",0.34,"CD4T"
"cg23819411",0.95,"CD4T"
"cg16125725",0.971,"CD4T"
"cg14059339",0.937,"CD4T"
"cg09109411",0.959,"CD4T"
"cg05486872",0.953,"CD4T"
"cg21341487",0.93,"CD4T"
"cg27545615",0.829,"CD4T"
"cg13633625",0.977,"CD4T"
"cg11597277",0.985,"CD4T"
"cg11389756",0.937,"CD4T"
"cg07356342",0.935,"CD4T"
"cg15033269",0.943,"CD4T"
"cg25757820",0.99,"CD4T"
"cg25605731",0.957,"CD4T"
"cg26341831",0.157,"CD4T"
"cg00405190",0.887,"CD4T"
"cg13785123",0.977,"CD4T"
"cg14919455",0.94,"CD4T"
"cg13079571",0.968,"CD4T"
"cg13618516",0.966,"CD4T"
"cg23334433",0.946,"CD4T"
"cg05171937",0.98,"CD4T"
"cg09727050",0.92,"CD4T"
"cg12019801",0.92,"CD4T"
"cg08279189",0.971,"CD4T"
"cg06766034",0.876,"CD4T"
"cg15891546",0.941,"CD4T"
"cg10699171",0.07,"CD4T"
"cg01040749",0.976,"CD4T"
"cg14268557",0.943,"CD4T"
"cg09163720",0.96,"CD4T"
"cg21237481",0.988,"CD4T"
"cg10342963",0.968,"CD4T"
"cg26814100",0.982,"CD4T"
"cg18380211",0.98,"CD4T"
"cg01953317",0.983,"CD4T"
"cg23990557",0.968,"CD4T"
"cg04128967",0.959,"CD4T"
"cg01012879",0.967,"CD4T"
"cg01742370",0.969,"CD4T"
"cg00290355",0.949,"CD4T"
"cg17470397",0.982,"CD4T"
"cg01655008",0.953,"CD4T"
"cg02722672",0.951,"CD4T"
"cg04836151",0.985,"CD4T"
"cg23012855",0.969,"CD4T"
"cg04306507",0.961,"CD4T"
"cg07769015",0.944,"CD4T"
"cg26165081",0.97,"CD4T"
"cg11690666",0.973,"CD4T"
"cg00114012",0.918,"CD4T"
"cg06829969",0.954,"CD4T"
"cg23540819",0.919,"CD4T"
"cg03329755",0.987,"CD4T"
"cg02832512",0.921,"CD4T"
"cg02974085",0.979,"CD4T"
"cg02338345",0.986,"CD4T"
"cg07268332",0.927,"CD4T"
"cg22460173",0.966,"CD4T"
"cg15586392",0.937,"CD4T"
"cg26930596",0.942,"CD4T"
