CpG,Beta,SE,P,StudyID
cg18625951,0.031,0.0077,4.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14371731,0.013,0.00259,2.4e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07768103,0.031,0.00773,4.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg03604011,0.043,0.00635,9.9e-12,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg18146737,-0.017,0.00265,1.4e-10,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13594903,-0.042,0.00875,1.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07336350,0.052,0.01059,1e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg01487433,0.036,0.008,6.1e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08097614,-0.042,0.00884,2.5e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg04716530,-0.044,0.01004,1.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24075175,-0.019,0.00451,4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg12893736,-0.046,0.01168,7.8e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14127188,0.04,0.00919,1.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg10752406,-0.061,0.0155,7.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20937934,0.055,0.01099,5.5e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23079012,-0.033,0.00405,1.8e-16,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17540545,-0.067,0.01249,8.8e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08554257,-0.042,0.00778,5.7e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23931381,-0.047,0.00717,4.2e-11,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg06357748,0.029,0.00705,3.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23276187,0.044,0.01033,1.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08176258,-0.041,0.01017,6.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg21140898,-0.029,0.00673,2.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg16071219,-0.035,0.00795,1.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13184736,-0.038,0.00561,7.1e-12,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg01120509,-0.041,0.00916,7e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg16270399,-0.053,0.01279,3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg03366574,0.034,0.00677,4e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg03945320,-0.034,0.00781,1.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17479280,0.05,0.01193,2.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg00970396,0.026,0.00676,9.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23189692,-0.044,0.01094,5.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg21149266,-0.038,0.00948,6.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg15416179,-0.037,0.00747,7.7e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13193840,-0.081,0.00933,5.8e-18,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07598385,-0.057,0.01319,1.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg01973676,-0.037,0.00841,1.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20011562,0.042,0.00996,2.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14234406,-0.039,0.00976,7.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05141333,-0.049,0.0119,4.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg27384695,0.045,0.00967,3.8e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg00366917,-0.028,0.00659,2.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg06294803,-0.037,0.00888,2.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg15658793,-0.07,0.01788,8.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13357602,-0.048,0.01,1.6e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14004685,0.043,0.00976,1.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg12946660,-0.034,0.00707,1.2e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg26963277,-0.046,0.0076,1.4e-09,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg04416734,-0.059,0.01127,2e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg16565913,0.036,0.00906,8.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg16497398,-0.042,0.00964,1.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg06489965,0.034,0.00877,9.8e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg16290275,-0.049,0.01094,6.9e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg25826463,-0.038,0.00958,8.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13782301,0.027,0.00656,4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg11461670,-0.048,0.01051,5.9e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg00769843,-0.03,0.0076,9.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg10980495,-0.023,0.00586,9.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg26889659,-0.016,0.00388,6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg03484180,-0.05,0.00906,4.3e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg11017086,-0.023,0.00542,1.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg21058391,-0.032,0.00734,1.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg06688763,0.018,0.00441,4.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17879101,-0.069,0.01532,6.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg01877778,0.037,0.00674,5.6e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg18316974,-0.023,0.00336,6.3e-12,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17158913,-0.031,0.00689,6.9e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05842815,-0.059,0.01441,4.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg16755833,0.034,0.00767,1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg04583842,0.043,0.00963,9.7e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg19211853,-0.022,0.00452,1.9e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20059012,-0.024,0.00463,1.8e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08594651,-0.058,0.01471,8.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg19592235,0.05,0.01157,1.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg02504211,0.063,0.01143,2.9e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg06834912,-0.032,0.00802,5.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg19001909,0.048,0.01124,1.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09084391,-0.025,0.00606,4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24004483,-0.036,0.0089,6.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg26337070,-0.033,0.00746,1.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg27513684,-0.054,0.01379,9.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg18020065,-0.025,0.00629,9.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg12873476,-0.046,0.00866,8.1e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg27435646,0.077,0.01805,2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07108579,0.047,0.0087,5e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg01207684,-0.032,0.00751,2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg02283485,0.033,0.0079,3.8e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23038277,0.046,0.01165,8.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg21566642,-0.056,0.00509,3.9e-28,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13819552,-0.084,0.01781,2.3e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13375457,-0.051,0.01177,1.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg18770579,-0.039,0.00923,2.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg15498134,-0.029,0.00723,7.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg27642470,0.026,0.0065,8.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07058086,0.02,0.00501,5.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24011073,-0.04,0.00985,4.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08362785,0.072,0.01367,1.3e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg16867657,0.049,0.0121,5.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg26535158,-0.091,0.01904,1.6e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg18482303,0.041,0.0088,2.9e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17619755,0.027,0.00617,1.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14255824,-0.039,0.00851,4.9e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg27470213,-0.028,0.00715,8.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07382454,0.022,0.00518,1.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13784312,-0.032,0.00696,5.5e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23629166,-0.046,0.00877,1.3e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17107156,0.042,0.00775,6.5e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg11429111,0.031,0.00673,5e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg19070894,0.046,0.00862,7.2e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24574692,-0.076,0.01747,1.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg26889953,-0.084,0.01772,2.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg02352281,-0.032,0.00667,1.7e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08709672,-0.063,0.01076,4.6e-09,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg10536999,-0.024,0.00604,9.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17940587,-0.043,0.00986,1.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg12039595,-0.062,0.01457,2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17422460,-0.044,0.01032,2.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07056138,-0.044,0.0106,2.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg22512670,-0.045,0.01138,8.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg01418188,-0.063,0.0145,1.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg01083131,-0.054,0.01178,5.2e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20303561,-0.038,0.00895,2.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09701700,-0.051,0.0091,2.4e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17837191,-0.065,0.0151,1.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09018739,0.067,0.01566,2.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05569131,-0.084,0.01731,1.3e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07329251,-0.06,0.01037,5.7e-09,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg11061343,-0.065,0.01434,6.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg06289802,-0.077,0.0155,6.9e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17840178,-0.048,0.01045,4.6e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09076123,-0.036,0.00916,7.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg27230882,-0.068,0.01415,1.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20640261,-0.04,0.00893,7e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg00289503,-0.053,0.0122,1.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg25375916,-0.047,0.00998,2.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg15891546,-0.051,0.01275,5.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24807889,-0.075,0.01559,1.8e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg10399789,-0.054,0.00826,8.8e-11,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg03305017,-0.048,0.01124,1.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg18458509,-0.051,0.00956,7.7e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23378941,-0.035,0.00805,1.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg11254053,-0.056,0.01221,4.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14951497,0.048,0.01133,2.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05576845,-0.05,0.01145,1.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05380759,-0.067,0.0157,1.8e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg01606027,-0.051,0.01192,1.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg04368724,0.037,0.00901,3.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24046474,-0.036,0.00848,2.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg15511120,-0.074,0.016,3.4e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg18939666,-0.065,0.01539,2.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg18279004,-0.052,0.01198,1.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg15815084,-0.027,0.00596,4.5e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09837656,-0.058,0.01348,1.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14554468,-0.054,0.01228,9.6e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg02730804,0.054,0.01331,4.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg04973995,-0.035,0.00788,9e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07917901,-0.094,0.01219,1.1e-14,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09948958,-0.035,0.00869,5.1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg22523050,-0.056,0.01268,1.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07654588,-0.05,0.01172,2.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg22640868,-0.045,0.01086,3.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09084200,-0.055,0.01102,7e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20319926,-0.037,0.0091,4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14856606,-0.045,0.01046,1.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20329047,-0.038,0.00951,6.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23594345,-0.032,0.00592,1e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg10317164,-0.054,0.01384,9.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg18754985,-0.074,0.01176,3.4e-10,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05903736,-0.059,0.00989,2.8e-09,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg01719995,-0.04,0.00997,5.7e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg19719391,0.065,0.01228,1.4e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24371033,-0.073,0.01512,1.6e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14986464,-0.066,0.01492,1e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg07227049,-0.07,0.0131,7.7e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg13413384,-0.084,0.01989,2.5e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05339037,-0.11,0.01644,1.6e-11,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg19980260,-0.061,0.01307,3.1e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08628635,-0.056,0.01221,3.7e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg15270419,-0.032,0.00805,6.6e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg02590572,0.061,0.0117,2.1e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg11119767,-0.06,0.01245,1.5e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17567838,-0.057,0.01241,5e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg27664407,-0.06,0.01108,6e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23480021,0.014,0.0033,3.8e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14520947,-0.058,0.01079,9.5e-08,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg05251190,-0.062,0.01457,2.3e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg19405329,-0.053,0.01119,1.8e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg14284211,-0.053,0.0105,5e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg24856658,-0.035,0.00792,7.6e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg17759224,-0.062,0.01005,6.6e-10,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg04359840,-0.065,0.01051,8.6e-10,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg22937882,0.071,0.015,2e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg25949550,-0.046,0.00777,3.3e-09,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23384027,-0.068,0.01692,5.8e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg26696162,-0.051,0.0112,5.2e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg20184271,-0.05,0.01267,9.4e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg08909156,-0.084,0.02047,4.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg25338563,-0.039,0.00859,7.1e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg25801976,-0.057,0.01242,4.5e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg09704136,-0.042,0.01064,7.9e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg23590660,-0.077,0.01505,3.2e-07,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg04159302,-0.056,0.01275,1.2e-05,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg22145559,-0.071,0.01475,1.7e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
cg11621113,-0.042,0.00952,9.2e-06,Robert-F-Hillary_Prevalent_COPD_(Self-report)_Basic_model
