CpG,Beta,SE,P,StudyID
cg00695177,-0.1524,0.03702,6.5e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00702547,0.0212,0.00505,4.8e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00716704,-0.0879,0.01678,5.8e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00735023,0.0636,0.00883,3.3e-11,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00737841,0.0543,0.01269,3.4e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00747849,-0.0168,0.00357,5.9e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00748195,-0.0209,0.00461,1.2e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00756943,0.0235,0.00553,3.9e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00757033,0.0354,0.00816,2.7e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00791764,0.0558,0.01081,8.3e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00809820,0.0821,0.01761,7.2e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00816676,-0.0362,0.00721,1.5e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00823095,-0.0228,0.00459,1.9e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00833479,0.0441,0.00751,3e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00844308,-0.0271,0.00547,2.1e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00845883,-0.0423,0.00751,9.4e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00862290,0.037,0.00912,8.2e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00873648,-0.1267,0.02056,7.2e-09,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00880741,-0.027,0.00614,2.2e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00901401,0.0449,0.00721,4.9e-09,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00901687,0.084,0.01833,1e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00913032,0.0243,0.00554,2.3e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00920799,0.0163,0.00352,8e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00933603,0.0417,0.00997,5.1e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00951213,-0.0764,0.01455,5.4e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00966482,-0.0361,0.00652,1.5e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00970279,0.0688,0.01216,8.1e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg00981737,-0.1165,0.01832,2.7e-09,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01012936,0.0542,0.01344,8.9e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01028017,0.0208,0.00448,7.7e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01032119,0.0817,0.01183,1.6e-10,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01044025,0.0379,0.0082,8.4e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01072550,0.0425,0.01038,7.1e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01073463,0.0315,0.00635,2e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01101459,0.0236,0.00585,9e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01101782,0.0306,0.00638,4.1e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01114033,0.0159,0.00355,1.5e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01118640,0.1864,0.03354,1.3e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01152624,0.0715,0.00986,2.5e-11,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01218619,-0.1287,0.02657,3.3e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01230320,0.1181,0.01668,6.1e-11,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01232511,-0.0546,0.01026,4e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01234299,-0.0481,0.00993,3.3e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01241798,0.0337,0.00754,1.6e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01254303,0.0294,0.00728,8.9e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01267068,0.0901,0.01767,1.1e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01269514,-0.0192,0.00415,8.5e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01283096,0.0237,0.00432,1.9e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01299579,0.094,0.0142,7e-10,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01320298,-0.0358,0.00722,2e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01357003,0.0154,0.00273,8.6e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01363734,0.0696,0.01444,3.7e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01369479,-0.035,0.00691,1.3e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01381795,-0.0222,0.00544,7.6e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01395541,0.1889,0.02962,2.4e-09,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01396391,-0.0488,0.01147,3.8e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01400671,0.0396,0.00667,2.1e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01418896,0.0805,0.01864,2.9e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01421548,-0.0355,0.00618,5.7e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01431340,0.0492,0.01056,7.2e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01453052,-0.0297,0.00693,3.4e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01497892,-0.0533,0.00823,1.5e-09,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01502466,-0.2121,0.03577,2.2e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01515516,-0.031,0.00555,1.2e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01518225,0.0626,0.00835,6.3e-12,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01521131,0.1333,0.0284,6.3e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01530154,0.0243,0.00495,2.5e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01538731,-0.0534,0.01096,3e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01567173,0.0525,0.01069,2.5e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01591881,0.0197,0.00463,3.7e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01598009,0.0304,0.00713,3.6e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01598144,-0.0364,0.00721,1.4e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01612730,0.0187,0.0039,3.9e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01644592,0.0348,0.00735,5.3e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01655658,-0.1527,0.01847,9.2e-14,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01667892,0.0566,0.01308,2.8e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01701819,-0.0273,0.00539,1.2e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01742263,0.0325,0.00621,5.8e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01762091,-0.0805,0.01414,7e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01787110,-0.0546,0.01223,1.6e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01799015,-0.0251,0.00619,8.2e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01817393,0.0661,0.01205,1.9e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01847021,0.0287,0.00474,1.3e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01863613,0.0171,0.00311,1.7e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01872988,0.1713,0.03555,3.7e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01882541,-0.0528,0.00766,1.7e-10,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01899542,0.0562,0.01246,1.4e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01951420,-0.0758,0.01782,3.8e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01963297,0.0345,0.00572,1.3e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg01965477,0.0197,0.00385,9.7e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02008285,-0.0462,0.00881,5.6e-07,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02011723,-0.033,0.00586,9.7e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02017155,-0.0306,0.00719,3.8e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02023728,0.0579,0.01373,4.4e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02028423,-0.0299,0.00475,3.5e-09,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02032872,0.0689,0.01217,8.3e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02045971,-0.0442,0.01002,2.1e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02050694,-0.0837,0.02072,8.7e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02070028,0.0587,0.01343,2.3e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02085119,0.0573,0.00761,5.3e-12,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02090742,-0.0321,0.00686,6.6e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02097674,0.0869,0.01525,6.8e-08,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02121547,-0.0496,0.01081,9.8e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02164088,-0.0198,0.00493,9.8e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02171771,-0.0296,0.00638,8e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02179473,-0.1708,0.02666,2.1e-09,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02187090,0.032,0.00714,1.5e-05,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
cg02193806,-0.0797,0.01699,6.3e-06,27886173_Battram-T_ulcerative_colitis_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse87640
