"CpG","Beta","StudyID"
"cg04605532",0.97,"B"
"cg18990407",0.569,"B"
"cg03002688",0.873,"B"
"cg02780988",0.772,"B"
"cg23363263",0.945,"B"
"cg20978247",0.94,"B"
"cg09310966",0.972,"B"
"cg05242065",0.933,"B"
"cg17541002",0.725,"B"
"cg22381196",0.992,"B"
"cg21685770",0.94,"B"
"cg00439981",0.994,"B"
"cg11557901",0.99,"B"
"cg05344747",0.819,"B"
"cg09859659",0.952,"B"
"cg25968394",0.971,"B"
"cg04609694",0.976,"B"
"cg13468144",0.985,"B"
"cg13178361",0.955,"B"
"cg13396713",0.983,"B"
"cg02021919",0.972,"B"
"cg11922563",0.956,"B"
"cg25025545",0.964,"B"
"cg27200257",0.951,"B"
"cg03406844",0.927,"B"
"cg09993145",0.119,"B"
"cg11354682",0.012,"B"
"cg23819411",0.958,"B"
"cg16125725",0.979,"B"
"cg14059339",0.972,"B"
"cg09109411",0.98,"B"
"cg05486872",0.968,"B"
"cg21341487",0.927,"B"
"cg27545615",0.87,"B"
"cg13633625",0.93,"B"
"cg11597277",0.988,"B"
"cg11389756",0.966,"B"
"cg07356342",0.964,"B"
"cg15033269",0.887,"B"
"cg25757820",0.987,"B"
"cg25605731",0.872,"B"
"cg26341831",0.015,"B"
"cg00405190",0.953,"B"
"cg13785123",0.98,"B"
"cg14919455",0.955,"B"
"cg13079571",0.968,"B"
"cg13618516",0.983,"B"
"cg23334433",0.977,"B"
"cg05171937",0.926,"B"
"cg09727050",0.939,"B"
"cg12019801",0.971,"B"
"cg08279189",0.986,"B"
"cg06766034",0.911,"B"
"cg15891546",0.794,"B"
"cg10699171",0.051,"B"
"cg01040749",0.973,"B"
"cg14268557",0.967,"B"
"cg09163720",0.974,"B"
"cg21237481",0.989,"B"
"cg10342963",0.962,"B"
"cg26814100",0.986,"B"
"cg18380211",0.974,"B"
"cg01953317",0.97,"B"
"cg23990557",0.968,"B"
"cg04128967",0.85,"B"
"cg01012879",0.96,"B"
"cg01742370",0.969,"B"
"cg00290355",0.925,"B"
"cg17470397",0.993,"B"
"cg01655008",0.979,"B"
"cg02722672",0.948,"B"
"cg04836151",0.986,"B"
"cg23012855",0.966,"B"
"cg04306507",0.79,"B"
"cg07769015",0.952,"B"
"cg26165081",0.965,"B"
"cg11690666",0.987,"B"
"cg00114012",0.946,"B"
"cg06829969",0.831,"B"
"cg23540819",0.845,"B"
"cg03329755",0.986,"B"
"cg02832512",0.926,"B"
"cg02974085",0.362,"B"
"cg02338345",0.736,"B"
"cg07268332",0.543,"B"
"cg22460173",0.828,"B"
"cg15586392",0.949,"B"
"cg26930596",0.971,"B"
