CpG,Beta,SE,P,StudyID
cg12269535,-0.053,,3.6e-08,30779925_Somineni-H_crohn_s_disease
cg16754857,-0.013,,4.4e-08,30779925_Somineni-H_crohn_s_disease
cg17922226,0.045,,4.4e-08,30779925_Somineni-H_crohn_s_disease
cg01059398,-0.069,,4.9e-08,30779925_Somineni-H_crohn_s_disease
cg16277071,0.054,,5.4e-08,30779925_Somineni-H_crohn_s_disease
cg24429337,0.036,,5.3e-08,30779925_Somineni-H_crohn_s_disease
cg09018739,0.056,,6e-08,30779925_Somineni-H_crohn_s_disease
cg19893929,0.047,,6e-08,30779925_Somineni-H_crohn_s_disease
cg12582317,0.07,,6.4e-08,30779925_Somineni-H_crohn_s_disease
cg11254522,0.045,,7.2e-08,30779925_Somineni-H_crohn_s_disease
cg11551560,0.05,,7.4e-08,30779925_Somineni-H_crohn_s_disease
cg26470501,-0.042,,7.6e-08,30779925_Somineni-H_crohn_s_disease
cg12053291,0.039,,7.8e-08,30779925_Somineni-H_crohn_s_disease
cg00053916,0.037,,8.3e-08,30779925_Somineni-H_crohn_s_disease
cg10136168,-0.039,,8.3e-08,30779925_Somineni-H_crohn_s_disease
cg24351003,0.038,,8.7e-08,30779925_Somineni-H_crohn_s_disease
cg19414383,0.044,,9e-08,30779925_Somineni-H_crohn_s_disease
cg20559943,-0.033,,9e-08,30779925_Somineni-H_crohn_s_disease
cg06710464,0.04,,1e-07,30779925_Somineni-H_crohn_s_disease
cg25114611,-0.046,,1e-07,30779925_Somineni-H_crohn_s_disease
cg00813509,0.038,,1.1e-07,30779925_Somineni-H_crohn_s_disease
cg10752575,0.019,,1.2e-07,30779925_Somineni-H_crohn_s_disease
cg01891966,-0.044,,1.2e-07,30779925_Somineni-H_crohn_s_disease
cg23216724,0.077,,1.2e-07,30779925_Somineni-H_crohn_s_disease
cg08796240,0.058,,1.2e-07,30779925_Somineni-H_crohn_s_disease
cg02097604,-0.037,,1.3e-07,30779925_Somineni-H_crohn_s_disease
cg16691087,0.065,,1.3e-07,30779925_Somineni-H_crohn_s_disease
cg07675998,0.039,,1.4e-07,30779925_Somineni-H_crohn_s_disease
cg17641710,0.032,,1.5e-07,30779925_Somineni-H_crohn_s_disease
cg14728380,0.049,,1.7e-07,30779925_Somineni-H_crohn_s_disease
cg09879253,0.04,,1.9e-07,30779925_Somineni-H_crohn_s_disease
cg27310486,0.034,,2e-07,30779925_Somineni-H_crohn_s_disease
cg09007354,0.055,,2.1e-07,30779925_Somineni-H_crohn_s_disease
cg18949794,0.043,,2.2e-07,30779925_Somineni-H_crohn_s_disease
cg12681784,0.03,,2.3e-07,30779925_Somineni-H_crohn_s_disease
cg19137806,0.055,,2.3e-07,30779925_Somineni-H_crohn_s_disease
cg12315466,0.035,,2.4e-07,30779925_Somineni-H_crohn_s_disease
cg18062721,0.051,,2.4e-07,30779925_Somineni-H_crohn_s_disease
cg01145119,0.059,,2.4e-07,30779925_Somineni-H_crohn_s_disease
cg09494379,0.041,,2.8e-07,30779925_Somineni-H_crohn_s_disease
cg13783786,0.044,,2.8e-07,30779925_Somineni-H_crohn_s_disease
cg07839457,-0.091,,2.9e-07,30779925_Somineni-H_crohn_s_disease
cg03029755,-0.037,,3.2e-07,30779925_Somineni-H_crohn_s_disease
cg25112191,-0.052,,3.3e-07,30779925_Somineni-H_crohn_s_disease
cg10577241,0.04,,3.3e-07,30779925_Somineni-H_crohn_s_disease
cg07735969,0.033,,3.4e-07,30779925_Somineni-H_crohn_s_disease
cg09881842,0.054,,3.6e-07,30779925_Somineni-H_crohn_s_disease
cg16639691,0.055,,3.7e-07,30779925_Somineni-H_crohn_s_disease
cg09816821,0.037,,3.7e-07,30779925_Somineni-H_crohn_s_disease
cg06015525,0.031,,3.8e-07,30779925_Somineni-H_crohn_s_disease
cg11832534,0.028,,3.8e-07,30779925_Somineni-H_crohn_s_disease
cg21727145,0.046,,3.8e-07,30779925_Somineni-H_crohn_s_disease
cg08352115,0.036,,3.8e-07,30779925_Somineni-H_crohn_s_disease
cg05241732,0.041,,4.4e-07,30779925_Somineni-H_crohn_s_disease
cg16755922,0.051,,4.4e-07,30779925_Somineni-H_crohn_s_disease
cg25422678,0.053,,4.4e-07,30779925_Somineni-H_crohn_s_disease
cg08708629,0.027,,4.5e-07,30779925_Somineni-H_crohn_s_disease
cg14064762,0.037,,4.9e-07,30779925_Somineni-H_crohn_s_disease
cg03546806,0.044,,5.7e-07,30779925_Somineni-H_crohn_s_disease
cg24897320,0.036,,5.7e-07,30779925_Somineni-H_crohn_s_disease
cg06650255,0.029,,5.9e-07,30779925_Somineni-H_crohn_s_disease
cg20975835,0.028,,6.3e-07,30779925_Somineni-H_crohn_s_disease
cg07333021,0.047,,6.7e-07,30779925_Somineni-H_crohn_s_disease
cg09152259,-0.051,,6.7e-07,30779925_Somineni-H_crohn_s_disease
cg27023597,-0.062,,7e-07,30779925_Somineni-H_crohn_s_disease
cg12368752,0.045,,7.3e-07,30779925_Somineni-H_crohn_s_disease
cg00382138,-0.056,,7.7e-07,30779925_Somineni-H_crohn_s_disease
cg00508575,0.042,,7.7e-07,30779925_Somineni-H_crohn_s_disease
cg20494738,0.024,,7.7e-07,30779925_Somineni-H_crohn_s_disease
cg05272827,0.043,,7.9e-07,30779925_Somineni-H_crohn_s_disease
cg23580000,0.045,,8.1e-07,30779925_Somineni-H_crohn_s_disease
cg22688566,0.045,,8.2e-07,30779925_Somineni-H_crohn_s_disease
cg04255937,0.035,,8.3e-07,30779925_Somineni-H_crohn_s_disease
cg15466952,-0.044,,8.3e-07,30779925_Somineni-H_crohn_s_disease
cg25130381,0.029,,8.4e-07,30779925_Somineni-H_crohn_s_disease
cg02666020,0.037,,1e-06,30779925_Somineni-H_crohn_s_disease
cg19821297,-0.051,,1e-06,30779925_Somineni-H_crohn_s_disease
cg05166473,0.028,,1.1e-06,30779925_Somineni-H_crohn_s_disease
cg00271311,0.036,,1.1e-06,30779925_Somineni-H_crohn_s_disease
cg26663590,0.055,,1.1e-06,30779925_Somineni-H_crohn_s_disease
cg16743273,0.038,,1.2e-06,30779925_Somineni-H_crohn_s_disease
cg09349128,-0.039,,1.3e-06,30779925_Somineni-H_crohn_s_disease
cg20962215,-0.028,,1.3e-06,30779925_Somineni-H_crohn_s_disease
cg21840434,0.027,,1.3e-06,30779925_Somineni-H_crohn_s_disease
cg18545991,0.033,,1.3e-06,30779925_Somineni-H_crohn_s_disease
cg24773560,0.041,,1.3e-06,30779925_Somineni-H_crohn_s_disease
cg00159243,-0.031,,1.4e-06,30779925_Somineni-H_crohn_s_disease
cg12620005,-0.028,,1.4e-06,30779925_Somineni-H_crohn_s_disease
cg08843902,0.034,,1.4e-06,30779925_Somineni-H_crohn_s_disease
cg09610644,0.053,,1.5e-06,30779925_Somineni-H_crohn_s_disease
cg04254886,0.022,,1.5e-06,30779925_Somineni-H_crohn_s_disease
cg13781414,-0.037,,1.5e-06,30779925_Somineni-H_crohn_s_disease
cg25445707,0.035,,1.6e-06,30779925_Somineni-H_crohn_s_disease
cg04610187,-0.041,,1.6e-06,30779925_Somineni-H_crohn_s_disease
cg25362050,-0.024,,1.6e-06,30779925_Somineni-H_crohn_s_disease
cg08553913,0.027,,1.7e-06,30779925_Somineni-H_crohn_s_disease
cg08539067,-0.013,,1.7e-06,30779925_Somineni-H_crohn_s_disease
cg02879453,0.047,,1.7e-06,30779925_Somineni-H_crohn_s_disease
cg17580045,-0.013,,1.8e-06,30779925_Somineni-H_crohn_s_disease
cg08640498,0.031,,1.8e-06,30779925_Somineni-H_crohn_s_disease
cg21373806,0.025,,1.8e-06,30779925_Somineni-H_crohn_s_disease
cg22155039,0.052,,1.8e-06,30779925_Somineni-H_crohn_s_disease
cg16586538,0.049,,1.9e-06,30779925_Somineni-H_crohn_s_disease
cg23186534,0.013,,1.9e-06,30779925_Somineni-H_crohn_s_disease
cg23842572,0.03,,2e-06,30779925_Somineni-H_crohn_s_disease
cg01538969,0.05,,2e-06,30779925_Somineni-H_crohn_s_disease
cg27365342,0.037,,2.1e-06,30779925_Somineni-H_crohn_s_disease
cg08422803,0.041,,2.2e-06,30779925_Somineni-H_crohn_s_disease
cg14780070,0.045,,2.2e-06,30779925_Somineni-H_crohn_s_disease
cg02797539,0.037,,2.2e-06,30779925_Somineni-H_crohn_s_disease
cg03014628,0.007,,2.3e-06,30779925_Somineni-H_crohn_s_disease
cg16097041,0.036,,2.3e-06,30779925_Somineni-H_crohn_s_disease
cg18721397,-0.064,,2.5e-06,30779925_Somineni-H_crohn_s_disease
cg21865762,0.036,,2.5e-06,30779925_Somineni-H_crohn_s_disease
cg17108423,0.042,,2.7e-06,30779925_Somineni-H_crohn_s_disease
cg13133304,0.016,,2.7e-06,30779925_Somineni-H_crohn_s_disease
cg12949547,0.041,,2.7e-06,30779925_Somineni-H_crohn_s_disease
cg14303526,0.039,,2.7e-06,30779925_Somineni-H_crohn_s_disease
cg17953136,0.053,,2.8e-06,30779925_Somineni-H_crohn_s_disease
cg08766770,0.039,,2.9e-06,30779925_Somineni-H_crohn_s_disease
cg25580581,-0.044,,2.9e-06,30779925_Somineni-H_crohn_s_disease
cg17980786,0.039,,2.9e-06,30779925_Somineni-H_crohn_s_disease
cg18513344,-0.033,,3e-06,30779925_Somineni-H_crohn_s_disease
cg06291107,0.029,,3.1e-06,30779925_Somineni-H_crohn_s_disease
cg03845363,-0.031,,3.1e-06,30779925_Somineni-H_crohn_s_disease
cg23935522,0.045,,3.2e-06,30779925_Somineni-H_crohn_s_disease
cg16292768,-0.054,,3.3e-06,30779925_Somineni-H_crohn_s_disease
cg20299572,0.045,,3.4e-06,30779925_Somineni-H_crohn_s_disease
cg07340241,0.049,,3.5e-06,30779925_Somineni-H_crohn_s_disease
cg13821176,0.042,,3.5e-06,30779925_Somineni-H_crohn_s_disease
cg09548275,0.035,,3.5e-06,30779925_Somineni-H_crohn_s_disease
cg20697417,0.047,,3.5e-06,30779925_Somineni-H_crohn_s_disease
cg24437104,-0.028,,3.5e-06,30779925_Somineni-H_crohn_s_disease
cg17781958,0.053,,3.6e-06,30779925_Somineni-H_crohn_s_disease
cg07884764,0.033,,3.6e-06,30779925_Somineni-H_crohn_s_disease
cg11250194,-0.043,,3.7e-06,30779925_Somineni-H_crohn_s_disease
cg24402667,0.036,,3.6e-06,30779925_Somineni-H_crohn_s_disease
cg03574306,0.046,,3.8e-06,30779925_Somineni-H_crohn_s_disease
cg09662798,0.033,,4e-06,30779925_Somineni-H_crohn_s_disease
cg12424624,0.041,,4e-06,30779925_Somineni-H_crohn_s_disease
cg25432300,0.045,,4e-06,30779925_Somineni-H_crohn_s_disease
cg20918393,0.023,,4e-06,30779925_Somineni-H_crohn_s_disease
cg07835154,0.03,,4.1e-06,30779925_Somineni-H_crohn_s_disease
cg09322573,0.039,,4.1e-06,30779925_Somineni-H_crohn_s_disease
cg13567986,0.035,,4.2e-06,30779925_Somineni-H_crohn_s_disease
cg13772414,0.044,,4.3e-06,30779925_Somineni-H_crohn_s_disease
cg00753676,0.029,,4.4e-06,30779925_Somineni-H_crohn_s_disease
cg01177100,0.04,,4.4e-06,30779925_Somineni-H_crohn_s_disease
cg14886629,0.024,,4.5e-06,30779925_Somineni-H_crohn_s_disease
cg11297046,0.03,,4.5e-06,30779925_Somineni-H_crohn_s_disease
cg25739715,-0.011,,4.7e-06,30779925_Somineni-H_crohn_s_disease
cg17330097,0.039,,4.8e-06,30779925_Somineni-H_crohn_s_disease
cg02203067,0.042,,4.9e-06,30779925_Somineni-H_crohn_s_disease
cg03940776,-0.029,,4.9e-06,30779925_Somineni-H_crohn_s_disease
cg06724236,0.048,,5.1e-06,30779925_Somineni-H_crohn_s_disease
cg08938793,-0.03,,5.3e-06,30779925_Somineni-H_crohn_s_disease
cg00034755,0.043,,5.5e-06,30779925_Somineni-H_crohn_s_disease
cg04389058,-0.039,,5.7e-06,30779925_Somineni-H_crohn_s_disease
cg10499974,0.046,,5.7e-06,30779925_Somineni-H_crohn_s_disease
cg12658897,0.02,,5.9e-06,30779925_Somineni-H_crohn_s_disease
cg10585586,0.037,,5.9e-06,30779925_Somineni-H_crohn_s_disease
cg00782811,0.041,,6e-06,30779925_Somineni-H_crohn_s_disease
cg21370522,0.051,,6.1e-06,30779925_Somineni-H_crohn_s_disease
cg27310092,-0.046,,6.2e-06,30779925_Somineni-H_crohn_s_disease
cg27208925,0.04,,6.3e-06,30779925_Somineni-H_crohn_s_disease
cg20406979,0.051,,6.4e-06,30779925_Somineni-H_crohn_s_disease
cg05670193,0.032,,6.5e-06,30779925_Somineni-H_crohn_s_disease
cg10437839,0.044,,6.5e-06,30779925_Somineni-H_crohn_s_disease
cg14555350,-0.011,,6.5e-06,30779925_Somineni-H_crohn_s_disease
cg05045702,0.027,,7e-06,30779925_Somineni-H_crohn_s_disease
cg15706657,0.044,,7.3e-06,30779925_Somineni-H_crohn_s_disease
cg04323925,0.041,,7.4e-06,30779925_Somineni-H_crohn_s_disease
cg17281677,0.035,,7.6e-06,30779925_Somineni-H_crohn_s_disease
cg26340740,0.049,,7.6e-06,30779925_Somineni-H_crohn_s_disease
cg02295216,0.045,,8.2e-06,30779925_Somineni-H_crohn_s_disease
cg11091012,0.023,,8.2e-06,30779925_Somineni-H_crohn_s_disease
cg00259742,0.029,,8.3e-06,30779925_Somineni-H_crohn_s_disease
cg03746015,-0.051,,8.3e-06,30779925_Somineni-H_crohn_s_disease
cg09171692,0.027,,8.4e-06,30779925_Somineni-H_crohn_s_disease
cg25392060,0.041,,8.4e-06,30779925_Somineni-H_crohn_s_disease
cg10368935,0.064,,8.5e-06,30779925_Somineni-H_crohn_s_disease
cg03214715,0.024,,8.5e-06,30779925_Somineni-H_crohn_s_disease
cg01418351,0.038,,8.6e-06,30779925_Somineni-H_crohn_s_disease
cg03512414,0.025,,9.1e-06,30779925_Somineni-H_crohn_s_disease
cg12126990,0.033,,9.1e-06,30779925_Somineni-H_crohn_s_disease
cg16739178,0.04,,9.1e-06,30779925_Somineni-H_crohn_s_disease
cg07148145,0.032,,9.3e-06,30779925_Somineni-H_crohn_s_disease
cg02667577,0.022,,9.4e-06,30779925_Somineni-H_crohn_s_disease
cg27049094,0.056,,9.4e-06,30779925_Somineni-H_crohn_s_disease
cg05647891,0.051,,9.5e-06,30779925_Somineni-H_crohn_s_disease
cg07830855,0.034,,9.6e-06,30779925_Somineni-H_crohn_s_disease
cg14237301,0.042,,9.6e-06,30779925_Somineni-H_crohn_s_disease
cg06574960,0.032,,9.9e-06,30779925_Somineni-H_crohn_s_disease
cg18290775,0.023,,9.9e-06,30779925_Somineni-H_crohn_s_disease
cg15011409,0.054,,9.9e-06,30779925_Somineni-H_crohn_s_disease
cg06632549,0.028,,1.1e-05,30779925_Somineni-H_crohn_s_disease
cg04986899,0.029,,1.1e-05,30779925_Somineni-H_crohn_s_disease
cg13707793,0.008,,1.1e-05,30779925_Somineni-H_crohn_s_disease
cg15459165,0.033,,1.1e-05,30779925_Somineni-H_crohn_s_disease
cg24165121,-0.044,,1.1e-05,30779925_Somineni-H_crohn_s_disease
cg04853218,0.037,,1.1e-05,30779925_Somineni-H_crohn_s_disease
cg12325605,0.04,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg21337881,0.034,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg25325512,-0.077,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg11032810,-0.027,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg12728588,0.025,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg07558761,0.04,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg09035925,0.053,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg10926330,-0.035,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg15143938,0.038,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg21683390,0.051,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg15537056,0.037,,1.2e-05,30779925_Somineni-H_crohn_s_disease
cg09912552,0.049,,1.3e-05,30779925_Somineni-H_crohn_s_disease
cg13663945,0.028,,1.3e-05,30779925_Somineni-H_crohn_s_disease
cg15614653,-0.033,,1.3e-05,30779925_Somineni-H_crohn_s_disease
cg20141108,0.047,,1.3e-05,30779925_Somineni-H_crohn_s_disease
cg16805291,0.06,,1.3e-05,30779925_Somineni-H_crohn_s_disease
cg09929238,0.061,,1.3e-05,30779925_Somineni-H_crohn_s_disease
cg26404226,0.046,,1.3e-05,30779925_Somineni-H_crohn_s_disease
cg19695507,0.032,,1.3e-05,30779925_Somineni-H_crohn_s_disease
cg04820362,-0.023,,1.4e-05,30779925_Somineni-H_crohn_s_disease
cg26562462,-0.03,,1.4e-05,30779925_Somineni-H_crohn_s_disease
cg10787197,0.046,,1.4e-05,30779925_Somineni-H_crohn_s_disease
cg00705600,-0.04,,1.4e-05,30779925_Somineni-H_crohn_s_disease
cg19872681,0.022,,1.4e-05,30779925_Somineni-H_crohn_s_disease
cg02241160,0.028,,1.4e-05,30779925_Somineni-H_crohn_s_disease
cg20488123,0.034,,1.4e-05,30779925_Somineni-H_crohn_s_disease
cg24166100,0.032,,1.5e-05,30779925_Somineni-H_crohn_s_disease
cg00139242,0.013,,1.5e-05,30779925_Somineni-H_crohn_s_disease
cg02454536,0.041,,1.5e-05,30779925_Somineni-H_crohn_s_disease
cg06535156,0.038,,1.5e-05,30779925_Somineni-H_crohn_s_disease
cg26846781,0.025,,1.5e-05,30779925_Somineni-H_crohn_s_disease
cg08822136,0.044,,1.5e-05,30779925_Somineni-H_crohn_s_disease
cg10621012,0.025,,1.5e-05,30779925_Somineni-H_crohn_s_disease
cg15553397,0.027,,1.5e-05,30779925_Somineni-H_crohn_s_disease
cg24951886,0.047,,1.6e-05,30779925_Somineni-H_crohn_s_disease
cg21908886,-0.026,,1.6e-05,30779925_Somineni-H_crohn_s_disease
cg18376497,-0.048,,1.6e-05,30779925_Somineni-H_crohn_s_disease
cg27128761,0.036,,1.7e-05,30779925_Somineni-H_crohn_s_disease
cg03776506,0.014,,1.7e-05,30779925_Somineni-H_crohn_s_disease
cg08423142,-0.027,,1.7e-05,30779925_Somineni-H_crohn_s_disease
cg24995976,0.03,,1.7e-05,30779925_Somineni-H_crohn_s_disease
cg26725076,-0.04,,1.8e-05,30779925_Somineni-H_crohn_s_disease
cg04287259,0.037,,1.9e-05,30779925_Somineni-H_crohn_s_disease
cg11863536,0.01,,1.9e-05,30779925_Somineni-H_crohn_s_disease
cg12596692,-0.017,,1.9e-05,30779925_Somineni-H_crohn_s_disease
cg16770368,0.026,,1.9e-05,30779925_Somineni-H_crohn_s_disease
cg24103475,0.028,,2e-05,30779925_Somineni-H_crohn_s_disease
cg21416544,0.038,,2e-05,30779925_Somineni-H_crohn_s_disease
cg20981615,0.027,,2e-05,30779925_Somineni-H_crohn_s_disease
cg03497652,0.047,,2e-05,30779925_Somineni-H_crohn_s_disease
cg17254383,-0.035,,2.1e-05,30779925_Somineni-H_crohn_s_disease
cg02423534,0.03,,2.1e-05,30779925_Somineni-H_crohn_s_disease
cg15112006,0.022,,2.1e-05,30779925_Somineni-H_crohn_s_disease
cg01350996,0.028,,2.1e-05,30779925_Somineni-H_crohn_s_disease
cg15550398,0.013,,2.2e-05,30779925_Somineni-H_crohn_s_disease
cg07196577,0.034,,2.2e-05,30779925_Somineni-H_crohn_s_disease
cg24160243,0.052,,2.2e-05,30779925_Somineni-H_crohn_s_disease
cg09417209,-0.028,,2.2e-05,30779925_Somineni-H_crohn_s_disease
cg00295485,0.04,,2.2e-05,30779925_Somineni-H_crohn_s_disease
cg03427849,0.044,,2.3e-05,30779925_Somineni-H_crohn_s_disease
cg07706375,-0.005,,2.3e-05,30779925_Somineni-H_crohn_s_disease
cg13522406,0.038,,2.3e-05,30779925_Somineni-H_crohn_s_disease
cg23038277,0.032,,2.3e-05,30779925_Somineni-H_crohn_s_disease
cg27246571,0.051,,2.4e-05,30779925_Somineni-H_crohn_s_disease
cg25291653,0.019,,2.4e-05,30779925_Somineni-H_crohn_s_disease
cg02504211,0.035,,2.4e-05,30779925_Somineni-H_crohn_s_disease
cg12257439,0.026,,2.5e-05,30779925_Somineni-H_crohn_s_disease
cg05622438,0.03,,2.5e-05,30779925_Somineni-H_crohn_s_disease
cg15928106,-0.09,,2.6e-05,30779925_Somineni-H_crohn_s_disease
cg20594765,0.028,,2.6e-05,30779925_Somineni-H_crohn_s_disease
cg19574915,0.045,,2.6e-05,30779925_Somineni-H_crohn_s_disease
cg02240291,0.011,,2.7e-05,30779925_Somineni-H_crohn_s_disease
cg23729283,0.034,,2.7e-05,30779925_Somineni-H_crohn_s_disease
cg15164733,0.022,,2.7e-05,30779925_Somineni-H_crohn_s_disease
cg22082015,0.029,,2.8e-05,30779925_Somineni-H_crohn_s_disease
cg09221482,0.024,,2.8e-05,30779925_Somineni-H_crohn_s_disease
cg20401130,0.024,,2.8e-05,30779925_Somineni-H_crohn_s_disease
cg26804423,0.036,,2.8e-05,30779925_Somineni-H_crohn_s_disease
cg01219347,0.029,,2.9e-05,30779925_Somineni-H_crohn_s_disease
cg03407184,0.013,,2.9e-05,30779925_Somineni-H_crohn_s_disease
cg25551219,0.025,,2.9e-05,30779925_Somineni-H_crohn_s_disease
cg19122402,0.028,,2.9e-05,30779925_Somineni-H_crohn_s_disease
cg08929197,0.029,,2.9e-05,30779925_Somineni-H_crohn_s_disease
cg23429047,0.021,,2.9e-05,30779925_Somineni-H_crohn_s_disease
cg25367558,-0.04,,2.9e-05,30779925_Somineni-H_crohn_s_disease
cg01281718,0.035,,3e-05,30779925_Somineni-H_crohn_s_disease
cg02319782,0.029,,3e-05,30779925_Somineni-H_crohn_s_disease
cg23291039,0.03,,3e-05,30779925_Somineni-H_crohn_s_disease
cg25790365,0.033,,3e-05,30779925_Somineni-H_crohn_s_disease
cg21382567,0.032,,3.1e-05,30779925_Somineni-H_crohn_s_disease
cg12570429,0.037,,3.1e-05,30779925_Somineni-H_crohn_s_disease
cg09106932,-0.037,,3.1e-05,30779925_Somineni-H_crohn_s_disease
cg09004241,0.039,,3.2e-05,30779925_Somineni-H_crohn_s_disease
cg22647738,0.045,,3.2e-05,30779925_Somineni-H_crohn_s_disease
cg03218374,0.031,,3.2e-05,30779925_Somineni-H_crohn_s_disease
cg17706411,0.044,,3.3e-05,30779925_Somineni-H_crohn_s_disease
cg26955383,0.039,,3.3e-05,30779925_Somineni-H_crohn_s_disease
cg24394336,0.029,,3.3e-05,30779925_Somineni-H_crohn_s_disease
cg05163509,0.028,,3.3e-05,30779925_Somineni-H_crohn_s_disease
cg13315706,0.04,,3.3e-05,30779925_Somineni-H_crohn_s_disease
cg02039987,0.033,,3.3e-05,30779925_Somineni-H_crohn_s_disease
cg17466510,0.029,,3.4e-05,30779925_Somineni-H_crohn_s_disease
cg23036452,0.051,,3.4e-05,30779925_Somineni-H_crohn_s_disease
cg02909097,0.038,,3.4e-05,30779925_Somineni-H_crohn_s_disease
cg23606775,0.037,,3.4e-05,30779925_Somineni-H_crohn_s_disease
cg02715602,0.052,,3.4e-05,30779925_Somineni-H_crohn_s_disease
cg02155398,0.018,,3.4e-05,30779925_Somineni-H_crohn_s_disease
cg01936839,-0.036,,3.5e-05,30779925_Somineni-H_crohn_s_disease
cg02640489,0.022,,3.5e-05,30779925_Somineni-H_crohn_s_disease
cg02869235,0.053,,3.5e-05,30779925_Somineni-H_crohn_s_disease
cg26385222,0.047,,3.5e-05,30779925_Somineni-H_crohn_s_disease
cg15815084,-0.06,,3.5e-05,30779925_Somineni-H_crohn_s_disease
cg07531182,0.024,,3.6e-05,30779925_Somineni-H_crohn_s_disease
cg12229367,0.027,,3.7e-05,30779925_Somineni-H_crohn_s_disease
cg06629713,0.019,,3.7e-05,30779925_Somineni-H_crohn_s_disease
cg14164816,0.043,,3.7e-05,30779925_Somineni-H_crohn_s_disease
cg25132241,0.03,,3.7e-05,30779925_Somineni-H_crohn_s_disease
cg06101576,0.016,,3.7e-05,30779925_Somineni-H_crohn_s_disease
cg15582707,0.02,,3.7e-05,30779925_Somineni-H_crohn_s_disease
cg07052063,0.042,,3.8e-05,30779925_Somineni-H_crohn_s_disease
cg08298591,0.027,,3.8e-05,30779925_Somineni-H_crohn_s_disease
cg23329411,0.027,,3.8e-05,30779925_Somineni-H_crohn_s_disease
cg26217846,0.026,,3.8e-05,30779925_Somineni-H_crohn_s_disease
cg00957580,0.038,,3.8e-05,30779925_Somineni-H_crohn_s_disease
cg05924780,0.022,,3.8e-05,30779925_Somineni-H_crohn_s_disease
cg21641573,0.021,,3.9e-05,30779925_Somineni-H_crohn_s_disease
