CpG,Beta,SE,P,StudyID
cg05030553,0.036,0.0082,8.7e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg05191655,0.153,0.0277,3.1e-08,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg05229598,-0.116,0.0253,4.3e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg05519080,-0.131,0.0286,4.8e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg05548190,0.056,0.0128,1.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg05813498,0.016,0.004,4.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06022902,0.116,0.0251,3.4e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06136125,0.075,0.0189,6.9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06139893,0.146,0.0356,4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06297863,0.164,0.0372,1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06371954,0.191,0.0489,9.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06394229,0.105,0.0257,4.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06449934,0.083,0.0211,8.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06580800,0.072,0.0152,2.4e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06802985,0.106,0.0254,3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06838175,0.235,0.0447,1.5e-07,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg06882571,0.05,0.0126,6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg07114810,0.37,0.0848,1.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg07322064,0.084,0.0196,2.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg07520506,0.051,0.0126,5.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg07628580,0.138,0.0344,6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg07636761,0.08,0.0192,3.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg07807470,0.103,0.024,1.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg07924154,0.075,0.0187,5.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg08093323,0.114,0.0263,1.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg08459746,-0.156,0.0356,1.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg08878447,-0.188,0.0413,5e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg08926253,0.114,0.0282,5.2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg08976163,0.454,0.1126,5.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg09069593,0.253,0.0597,2.2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg09298313,0.095,0.0236,5.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg09639622,0.265,0.0593,7.4e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg09664445,0.125,0.0293,1.9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg09684106,0.054,0.0112,1.1e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg00502254,0.097,0.0231,2.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg00546248,0.069,0.0178,9.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg10080732,0.546,0.1258,1.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg10470808,0.382,0.0966,7.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg10596925,0.208,0.05,3.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg10970124,0.236,0.0561,2.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg10993442,0.133,0.0318,2.9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg11206840,0.668,0.1698,8.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg11272475,-0.211,0.0527,6.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg11277148,0.466,0.1184,8.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg11416433,0.074,0.0181,4.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg11426170,0.047,0.012,8.9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg11812928,0.113,0.0287,8.9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg11839095,0.075,0.0186,5.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg11887996,0.203,0.0385,1.4e-07,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12022621,0.082,0.018,5.5e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12051614,0.058,0.0134,1.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12054453,0.053,0.0125,1.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12151545,0.122,0.0292,2.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12467226,0.171,0.0434,8.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12520319,0.111,0.0282,8.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12543949,0.243,0.0605,6.2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12723011,0.537,0.1324,4.9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg00782811,0.124,0.0291,2.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg00814597,0.364,0.082,8.9e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12939085,0.131,0.0306,1.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12949547,0.156,0.0334,2.8e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg12976883,0.171,0.0329,2.1e-07,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13105766,0.105,0.0242,1.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13175282,0.151,0.0382,7.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13247580,0.463,0.0923,5.1e-07,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13374901,0.113,0.0283,6.2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13397818,0.166,0.0388,2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13521229,0.084,0.0213,7.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13570637,0.173,0.042,3.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13644239,0.131,0.0265,7.9e-07,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13725516,0.061,0.0143,2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13747876,0.088,0.0223,8.2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg13887731,-0.123,0.0313,8.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg14231674,0.116,0.0276,2.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg14267671,0.11,0.028,8.2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg14408990,0.054,0.012,7.5e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg14485901,0.104,0.0266,9.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg14602697,0.182,0.0396,4.1e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg14758065,0.11,0.0252,1.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg14780070,0.085,0.0189,7.2e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg14836555,0.121,0.0273,8.8e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg00958409,0.28,0.0701,6.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg01026898,0.136,0.033,3.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg01122889,0.244,0.0586,3.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg15431934,0.207,0.0491,2.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg15454820,-0.033,0.0081,3.9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg15582311,0.104,0.0236,1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg15655495,0.085,0.0198,1.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg15752436,0.511,0.1149,8.8e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg15770046,0.128,0.0328,9.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg15787744,0.093,0.0218,2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg15863827,0.08,0.0202,7.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg15981982,0.138,0.029,1.9e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16000018,0.254,0.0592,1.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16036409,0.084,0.0187,7e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16305094,0.126,0.0313,5.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16308101,0.167,0.041,4.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16370767,0.165,0.0383,1.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16509173,0.304,0.0702,1.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16513984,0.09,0.0223,5.9e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16554534,0.146,0.0348,2.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16602747,0.08,0.0201,6.8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16606478,0.575,0.1414,4.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16727416,0.118,0.0302,9.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16834356,-0.114,0.0289,8e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg16941122,0.092,0.0235,9.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17126555,0.119,0.0304,8.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17137500,0.359,0.0817,1.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17217017,0.143,0.0358,6.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17327171,0.11,0.0267,3.5e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17344040,0.15,0.0336,8e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17427615,0.143,0.0304,2.3e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17607231,0.092,0.0183,5.3e-07,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17715243,0.082,0.0161,2.9e-07,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17851392,-0.839,0.2024,3.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17921310,0.512,0.1282,6.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg17956819,-0.189,0.0467,5.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18048562,0.137,0.0332,3.6e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18074834,0.154,0.0339,5.4e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18098839,0.188,0.0409,4.2e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18281439,0.209,0.046,5.8e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg01274324,0.13,0.0325,6.2e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg01302201,0.126,0.0305,3.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg01324543,-0.208,0.0509,4.4e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18565216,0.182,0.0418,1.3e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18660898,0.337,0.0671,5.2e-07,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18672030,0.234,0.0452,2.3e-07,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18716679,0.057,0.0144,6.7e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18780100,0.077,0.018,2.1e-05,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
cg18852618,0.048,0.0108,9.2e-06,30343628_Carmona-JJ_lung_function_decline_discovery__fvc__lung_function_decline_in_this_paper_is_defined_as_a_decrease_in_fvc_between_visits_
